Percentage served,Time in ms
0,1.149
1,15.054
2,19.167
3,21.518
4,27.226
5,40.428
6,43.984
7,48.306
8,57.347
9,60.771
10,62.687
11,63.804
12,64.672
13,65.318
14,65.914
15,66.425
16,66.872
17,67.291
18,67.663
19,68.044
20,68.444
21,68.827
22,69.196
23,69.579
24,69.941
25,70.306
26,70.646
27,70.944
28,71.250
29,71.543
30,71.812
31,72.084
32,72.355
33,72.618
34,72.878
35,73.113
36,73.347
37,73.583
38,73.813
39,74.049
40,74.273
41,74.511
42,74.746
43,74.977
44,75.218
45,75.452
46,75.696
47,75.923
48,76.137
49,76.362
50,76.591
51,76.835
52,77.083
53,77.358
54,77.619
55,77.890
56,78.153
57,78.422
58,78.700
59,78.972
60,79.244
61,79.512
62,79.774
63,80.046
64,80.332
65,80.620
66,80.919
67,81.223
68,81.534
69,81.853
70,82.184
71,82.515
72,82.866
73,83.207
74,83.588
75,83.958
76,84.339
77,84.783
78,85.220
79,85.673
80,86.130
81,86.593
82,87.129
83,87.644
84,88.206
85,88.821
86,89.570
87,90.462
88,91.560
89,92.884
90,94.400
91,96.504
92,102.065
93,247.362
94,264.747
95,269.177
96,273.046
97,277.413
98,283.116
99,476.387
100,7273.024
